BookTitle,book,bookcover,format,genre,author,PurchaseDate,PublicationYear,PurchaseVenue,Language,Condition,reason
1984,1984.jpg,1984-cover.jpg,Paperback,Classic Fiction,George Orwell,2017,1949,Online,English,New,Always saw favourite authors recommend it as a dystopian classic
A Dream of Red Mansions,dream-of-red-mansions.jpg,dream-of-red-mansions-cover.jpg,Paperback,Foreign Translation,Cao Xueqin ,2022,1791,The Strand,Chinese translated to English,New,"Grew up reading the simplified graphic novel version, wanted to read the novel in full"
A History of Present Illness,present-illness.jpg,a-history-of-present-illness-cover.jpg,Hardcover,Contemporary Fiction,Anna DeForest,2023,2023,Other,English,New,"Thought the premise of grief and loss was interesting, was also cheaper being outside NYC"
Age of Iron,age-of-iron.jpg,age-of-iron-cover.jpg,Paperback,Classic Fiction,J.M Coetzee,2019,1990,Online,English,New,Book used for A Level Literature
All My Rage,all-my-rage.jpg,all-my-rage-cover.jpg,Hardcover,Contemporary Fiction,Sahar Tahir,2023,2022,Other,English,New,"Highly influenced, saw recommended online"
An Absolutely Remarkable Thing,remarkable-thing.jpg,an-absolutely-remarkable-thing-cover.jpg,Hardcover,Contemporary Fiction,Hank Green,2022,2018,Online,English,New,Recommended by friend who also likes John Green
"Beautiful World, Where Are You",beautiful-world.jpg,beautiful-world-where-are-you-cover.jpg,Hardcover,Contemporary Fiction,Sally Rooney,2023,2021,Online,English,Used,"Thought the subject was compelling, was also very recommended on tiktok"
Before the Coffee Gets COld,before-the-coffee-gets-cold.jpg,before-the-coffee-gets-cold-cover.jpg,Hardcover,Foreign Translation,Tess Gunty,2022,2015,Barnes and Noble,Japanese translated to English,New,Friend recommended book during the summer after she had finished reading it
Bliss Montage,bliss-montage.jpg,bliss-montage-cover.jpg,Hardcover,Fiction Anthology,Ling Ma,2022,2022,Barnes and Noble,English,New,"Cool cover, was 50% off"
Book of Night,book-of-night.jpg,book-of-night-cover.jpg,Hardcover,Contemporary Fiction,Holly Black,2022,2022,Barnes and Noble,English,New,Thought the cover looked cool
Brave New World,brave-new-world.jpg,brave-new-world-cover.jpg,Hardcover,Classic Fiction,Huxley,2022,1932,The Strand,English,New,"On recommended list of books from friend, apparently a dystopian classic"
Chlorine,chlorine.jpg,chlorine-cover.jpg,Hardcover,Contemporary Fiction,Jade Song,2023,2023,Other,English,New,"Premise was interesting, cover was also eye-catching and it was cheaper being outside NYC"
Crying in H Mart,h-mart.jpg,crying-in-h-mart-cover.jpg,Hardcover,Autobiography,Michelle Zauner,2022,2021,Other,English,New,gift given from friend 
Cultish,cultish.jpg,cultish-cover.jpg,Hardcover,Non-Fiction,Amanda Montell,2022,2021,Barnes and Noble,English,New,book with non-linear structure thought to be the first of the choose your own adventure genre
Feelings: A Story In Seasons,feelings.jpg,feelings-cover.jpg,Paperback,Graphic Novel,Manjit Thapp,2022,2021,The Strand,English,New,"Wanted to get more into graphic novels, thought subject matter was compelling"
Forbidden City,forbidden-city.jpg,forbidden-city-cover.jpg,Hardcover,Contemporary Fiction,Vanessa Hua,2022,2022,Barnes and Noble,English,New,Historical Mao Era fiction?? Sign me up!!
Four Treasures of the Sky,four-treasures.jpg,four-treasures-of-the-sky-cover.jpg,Hardcover,Contemporary Fiction,Jenny Tinghui Zhang,2023,2022,Other,English,New,the reference to dream of red mansions in the name of the main character made it sound interesting 
Gods of Want,gods-of-want.jpg,gods-of-want-cover.jpg,Hardcover,Fiction Anthology,K-Ming Chung,2022,2022,Other,English,New,"Heard of the author, liked fiction anthology"
Hopscotch,hopscotch.jpg,hopscotch-cover.jpg,Paperback,Contemporary Fiction,Julio Cortazar,2021,1963,Barnes and Noble,English,New,recommended on list of non-linear book structures
How Much Of These Hills of Gold,hills-is-gold.jpg,how-much-these-hills-of-gold-cover.jpg,Paperback,Contemporary Fiction, C Pam Zhang ,2021,2020,Other,English,Used,Gift given by friend for birthday
How to be Eaten,how-to-be-eaten.jpg,how-to-be-eaten-cover.jpg,Hardcover,Contemporary Fiction,Maria Adelmann,2022,2022,Barnes and Noble,English,New,saw it recommended multiple times 
Interaction of Color,interaction-of-color.jpg,interaction-of-color.jpg,Paperback,Art & Design Reference,Joseph Albers,2021,1963,The Strand,English,New,Color theory??
Kent State: Four Dead in Ohio,kent-state.jpg,kent-state-cover.jpg,Hardcover,Graphic Novel,Derf Backderf,2022,2020,Other,English,New,"Saw exhibition on it at the Society of Illustrators, was offering autographs and personalisation at MOCCA fest 2022 "
Klara and the Sun,klara-and-the-sun.jpg,klara-and-the-sun-cover.jpg,Hardcover,Foreign Translation,Kazuo Ishiguro,2023,2021,Online,Japanese translated to English,Used,Recommended by a friend who has similar taste in books
Legend,legend.jpg,legend-cover.jpg,Hardcover,Contemporary Fiction,Marie Lu,2022,2011,The Strand,English,New,Wanted to read it for several years now
My Body,my-body.jpg,my-body-cover.jpg,Hardcover,Autobiography,Emily Ratajkowski,2022,2021,The Strand,English,New,"Thought it would be an interesting read, had seen it recommended for a few years"
Pachinko,pachinko.jpg,pachinko-cover.jpg,Hardcover,Contemporary Fiction,Lee Min Jin,2023,2017,Online,English,Used,thought the retelling an linking of classic fairy tales was interesting
Pride and Prejudice ,pride-and-prejudice.jpg,pride-prejudice-cover.jpg,Hardcover,Classic Fiction,Jane Austen,2022,1813,Barnes and Noble,English,New,"Feels like I should read it, was 50% off"
Pure Color,pure-color.jpg,pure-color-cover.jpg,Hardcover,Contemporary Fiction,Sheila Heti,2023,2022,Other,English,New,wanted to learn more about color theory
Red Lines: Political Cartoons and the Struggle Against Censorship,pure-color.jpg,red-lines-cover.jpg,Paperback,Non-Fiction,Cherian George & Sonny Liew,2021,2021,The Strand,English,New,It is banned in Singapore and I was curious
Saha,saha.jpg,saha-cover.jpg,Hardcover,Foreign Translation,Cho Nam Ju,2023,2022,The Strand,English,New,The cover was pretty
Severance,severance.jpg,severance-cover.jpg,Paperback,Contemporary Fiction,Ling Ma,2023,2018,Other,English,New,"Recommended by friends, it was also cheaper with little or smaller taxes being outside of NYC"
Skinship,skinship.jpg,skinship-cover.jpg,Hardcover,Fiction Anthology,Yoon Choi,2022,2021,The Strand,English,New,the title and sypnopsis was compelling
Steal like an Artist,steal-like-an-artist.jpg,steal-like-an-artist-cover.jpg,Paperback,Art & Design Reference,Austin Kleon,2022,2012,The Strand,English,New,Recommended by mant creative people I follow onlinw
The Anthropocene Reviewed,anthropocene-reviewed.jpg,the-anthropocene-reviewed-cover.jpg,Hardcover,Essays,John Green ,2021,2021,The Strand,English,New,John Green
The Bell Jar,the-bell-jar.jpg,the-bell-jar-cover.jpg,Paperback,Classic Fiction,Sylvia Plath,2022,1963,Other,English,New,Endless recommendation
The Cartographers,cartographers.jpg,the-cartographers-cover.jpg,Hardcover,Contemporary Fiction,Peng Shepherd,2022,2022,The Strand,English,New,looked cool
The Catch,catch.jpg,the-catch-cover.jpg,Hardcover,Contemporary Fiction,Alison Fairbrother,2022,2022,Barnes and Noble,English,New,"Thought the subject was compelling, "
The Faraway World,faraway-world.jpg,the-faraway-world-cover.jpg,Hardcover,Contemporary Fiction,Patrica Engel,2023,2023,Other,English,New,"Read a book review of it in the New York Times, and the cover was really pretty with the holographic texture"
The Handmaid's Tale ,the-handmaids-tale.jpg,the-handmaids-tale-cover.jpg,Hardcover,Classic Fiction,Marget Atwood,2021,1985,Barnes and Noble,English,New,"Classic, thought I should read it, book edition was pretty"
The Immortal King Rao ,king-rao.jpg,the-immortal-king-rao-cover.jpg,Hardcover,Contemporary Fiction,Vauhini Vara,2022,2022,Barnes and Noble,English,New,"Thought the subject was compelling, wanted to read more graphic novels "
The Invisible Life of Addie LaRue,invisible-life.jpg,the-invisible-life-of-addie-larue-cover.jpg,Hardcover,Contemporary Fiction,V E Schwab,2022,2020,Barnes and Noble,English,New,dystopian classic 
The Lonely CIty,the-lonely-city.jpg,the-lonely-city-cover.jpg,Hardcover,Essays,Olivia Laing,2023,2016,Online,English,Used,Felt lonely
The Magic of MimaLima,magic-minalima.jpg,the-magic-of-minalima-cover.jpg,Hardcover,Art & Design Reference,Mina and Euoardo,2022,2022,Barnes and Noble,English,New,Harry Potter film graphic designers + got to hear them speak about their work at event
The Meritocracy Trap,meritocracy-trap.jpg,the-meritocracy-trap-cover.jpg,Paperback,Non-Fiction,Daniel Markovits,2021,2019,Online,English,New,Meritocracy is an interesting topic
The Night Circus,the-night-circus.jpg,the-night-circus-cover.jpg,Hardcover,Contemporary Fiction,Erin Morgenstern,2022,2011,Barnes and Noble,English,New,Endlessly recommended to me 
The Rabbit Hutch,rabbit-hutch.jpg,the-rabbit-hutch-cover.jpg,Hardcover,Contemporary Fiction,Tess Gunty,2022,2022,Barnes and Noble,English,New,throught the summary and time period it was set in was interesting 
The Testaments,the-testaments.jpg,the-testaments-cover.jpg,Hardcover,Contemporary Fiction,Marget Atwood,2021,2019,The Strand,English,New,Sequel to the Handmaid's Tale
"Tomorrow, And Tomorrow, And Tomorrow",tomorrow-tomorrow.jpg,tomorrow-and-tomorrow-and-tomorrow-cover.jpg,Hardcover,Contemporary Fiction,Gabrielle Zevin,2022,2022,Barnes and Noble,English,New,"Premise was interesting, and the cover had Hokusai's wave on it."
Trick Mirror,trick-mirror.jpg,tomorrow-and-tomorrow-and-tomorrow-cover.jpg,Paperback,Essays,Jia Tolentino,2022,2019,Other,English,New,Thought it was interesting 
